log,fullmove,ply,side,fen,move,rank,score_cp,gap_cp,candidate_move,reference_move,round,legal_moves
sprt_game_1,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,e3f3,1,-127,0,e3f3,e3h3,3,34
sprt_game_1,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,e3h3,2,-154,27,e3f3,e3h3,3,34
sprt_game_1,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,e3f4,3,-175,48,e3f3,e3h3,3,34
sprt_game_1,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,e3g3,4,-639,512,e3f3,e3h3,3,34
sprt_game_1,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,g1f3,5,-660,533,e3f3,e3h3,3,34
sprt_game_1,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,d2c4,6,-670,543,e3f3,e3h3,3,34
sprt_game_1,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,e4e5,7,-670,543,e3f3,e3h3,3,34
sprt_game_1,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,g1h3,8,-671,544,e3f3,e3h3,3,34
sprt_game_1,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,e3d4,9,-673,546,e3f3,e3h3,3,34
sprt_game_1,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,b2b3,10,-673,546,e3f3,e3h3,3,34
sprt_game_1,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,d2b3,11,-678,551,e3f3,e3h3,3,34
