game,round,fullmove,ply,side,fen,candidate_move,reference_move,legal_moves
1,3,9,10,White,r1bqkbnr/1p3pp1/p1n1p3/2p5/3pP2p/3PQ3/PPPNBPPP/R1B1K1NR w KQkq - 0 9,e3f3,e3h3,34
1,3,10,12,White,r1bqkbnr/1p3p2/p1n1p3/2p3p1/3pP2p/3P1Q2/PPPNBPPP/R1B1K1NR w KQkq - 0 10,e2d1,g2g3,29
1,3,24,40,White,7r/1p1nkp2/p7/4n3/3pP1pr/3P3P/PP2BK2/2R3NR w - - 0 24,f2g3,f2g2,27
1,3,26,44,White,7r/1p1n1p1r/p2k4/4n3/1P1pP1p1/3P2KP/P3B3/2R3NR w - - 1 26,c1f1,g3g2,27
1,3,33,58,White,6r1/1p3pr1/p4k2/8/1P1pP3/3n1N1P/P6K/7R w - - 0 33,h1f1,f3h4,19
1,3,34,60,White,6r1/1p3pr1/p7/4k3/1P1pP2N/3n3P/P6K/7R w - - 2 34,h1f1,b4b5,14
1,3,37,66,White,6r1/1p3pr1/p7/8/Pn1p3N/3k3P/7K/4R3 w - - 2 37,e1d1,e1e7,20
1,3,38,68,White,6r1/1p3pr1/p7/8/Pn1p3N/2k4P/7K/3R4 w - - 4 38,h4f5,h4f3,16
1,3,39,70,White,6r1/1p3pr1/p7/5N2/Pn6/2kp3P/7K/3R4 w - - 0 39,a4a5,h3h4,20
1,3,41,74,White,6r1/1p3pr1/p7/8/P7/2k1N2P/2np4/3R3K w - - 2 41,e3f5,e3g4,17
2,6,12,8,White,r3k2r/pp3ppp/2n5/2bnp3/3p4/3B4/PPPB1PPP/R3K1NR w KQkq - 0 12,g1f3,a2a3,39
2,6,15,14,White,3rk2r/pp3ppp/2n5/3np3/3pB3/8/PPPR1PPP/2K3NR w k - 1 15,g1e2,c2c3,27
2,6,16,16,White,3r1rk1/pp3ppp/2n5/3np3/3pB3/8/PPPRNPPP/2K4R w - - 3 16,f2f4,e4d5,32
2,6,21,26,White,3r2k1/p4ppp/4rn2/2p1p3/3p4/2P2PN1/PP1R2PP/2K1R3 w - - 1 21,d2e2,c1b1,32
2,6,22,28,White,4r1k1/p4ppp/4rn2/2p1p3/3p4/2P2PN1/PP2R1PP/2K1R3 w - - 3 22,h2h3,a2a3,28
2,6,24,32,White,4r1k1/p4p2/4rnpp/2p1p3/3p4/2P2PN1/PP1R2PP/1K2R3 w - - 0 24,g3e4,a2a3,33
2,6,27,38,White,4r3/p3rpk1/5np1/2p1p2p/3p3P/P1P2PN1/1P1R2P1/1KR5 w - - 1 27,c1e1,c3d4,27
2,6,28,40,White,3r4/p3rpk1/5np1/2p1p2p/3p3P/P1P2PN1/1P1R2P1/1K2R3 w - - 3 28,b1c2,b1c1,31
2,6,36,56,White,r7/2rn1pk1/6p1/2p1p2p/2Pp3P/PR3P2/3N2P1/2K1R3 w - - 1 36,c1b2,c1c2,29
2,6,41,66,White,r7/2rnk3/6p1/1Rp1pp1p/2Pp3P/P4PP1/1K1N4/4R3 w - - 5 41,b2b3,e1a1,31
2,6,43,70,White,r7/3nk3/6p1/1Rp1pp1p/r1Pp3P/PK3PP1/3N4/R7 w - - 9 43,b5b7,b3b2,22
2,6,44,72,White,r7/3n4/4k1p1/1Rp1pp1p/r1Pp3P/PK3PP1/R2N4/8 w - - 11 44,b5b7,a2a1,16
2,6,45,74,White,r7/1R1n4/3k2p1/2p1pp1p/r1Pp3P/PK3PP1/R2N4/8 w - - 13 45,b7b5,b3c2,17
2,6,48,80,White,r7/3n4/2k3p1/1Rp2p2/r1Ppp1PP/PK6/R2N4/8 w - - 0 48,h4h5,g4f5,18
2,6,49,82,White,r7/3n4/2k5/1Rp2p2/r1Ppp2P/PK6/R2N4/8 w - - 0 49,d2b1,h4h5,16
2,6,50,84,White,r7/8/2k5/1Rp1np1P/r1Ppp3/PK6/R2N4/8 w - - 1 50,h5h6,a2a1,16
2,6,54,92,White,r7/r7/2k4P/2p2p2/2np4/PR6/2Kp4/R7 w - - 2 54,b3h3,b3f3,26
2,6,55,94,White,r7/r7/7P/2pk1p2/2np4/PR6/2Kp4/6R1 w - - 4 55,c2d1,b3h3,32
2,6,65,114,White,8/8/8/2p5/2np3R/P4k2/2Kp2r1/8 w - - 10 65,h4h3,h4d4,16
2,6,71,126,White,8/8/6r1/1Kp5/8/P2kp3/8/3q4 w - - 2 71,b5c5,b5a5,3
3,2,12,13,White,r2qk2r/ppp2pb1/3pbnpp/4p3/1nP1P3/2NPB1Q1/PP1KBPPP/R5NR w kq - 6 12,h2h3,a1c1,44
3,2,13,15,White,r2q1rk1/ppp2pb1/3pbnpp/4p3/1nP1P3/2NPB1QP/PP1KBPP1/R5NR w - - 1 13,g1f3,e2g4,43
3,2,14,17,White,r2qr1k1/ppp2pb1/3pbnpp/4p3/1nP1P1B1/2NPB1QP/PP1K1PP1/R5NR w - - 3 14,a2a3,g4e6,44
3,2,20,29,White,r2q2k1/ppn2pb1/2pr1npp/3pp3/2P1P3/P1NP1Q1P/1P1B1PP1/3RK1NR w - - 2 20,c4d5,f3e2,36
3,2,21,31,White,r5k1/ppn1qpb1/2pr1npp/3pp3/2P1P3/P1NP3P/1P1BQPP1/3RK1NR w - - 4 21,c4d5,g1f3,33
3,2,22,33,White,r5k1/ppn1qpb1/3r1npp/3pp3/4P3/P1NP3P/1P1BQPP1/3RK1NR w - - 0 22,g1f3,e1f1,31
3,2,25,39,White,r5k1/1p2qpb1/3r1npp/pn2p3/3pP3/P2P3P/NP1BQPP1/2R2KNR w - - 2 25,g1f3,c1c2,38
3,2,29,47,White,r5k1/np1n1pb1/r3q1pp/p3p3/P1RpP3/3P1N1P/1P1BQPP1/2N2K1R w - - 7 29,c4c2,g2g3,37
3,2,32,53,White,r4bk1/np3p2/r3q1pp/N3p3/n2pP3/3P1N1P/1PRBQPP1/5K1R w - - 0 32,f1g1,g2g3,38
3,2,42,73,White,r5k1/5p2/r5pp/1p2N3/3pP3/bq1P2PP/1B2QPK1/1R6 w - - 1 42,e5f3,e2d2,37
3,2,44,77,White,r5k1/5p2/r5p1/1pb4p/3pP3/1q1P1NPP/1B1Q1PK1/1R6 w - - 0 44,g3g4,d2c1,38
3,2,45,79,White,r5k1/5p2/r5p1/1pb5/3pP1Pp/1q1P1N1P/1B1Q1PK1/1R6 w - - 0 45,d2g5,d2c1,37
3,2,46,81,White,r5k1/5p2/6p1/1pb5/3pP1Pp/1q1P1N1P/rB1Q1PK1/2R5 w - - 2 46,c1b1,d2f4,39
3,2,50,89,White,6k1/5p2/6p1/1pR5/3pP1P1/3r1N1P/1r3PK1/8 w - - 0 50,e4e5,c5d5,29
3,2,52,93,White,6k1/5p2/6p1/1p1RP3/6P1/2rp1N1P/1r3PK1/8 w - - 0 52,f3g5,d5d8,22
3,2,53,95,White,5k2/5p2/6p1/1p1RP1N1/6P1/2rp3P/1r3PK1/8 w - - 2 53,g5e4,e5e6,20
3,2,54,97,White,5k2/5p2/6p1/1p1RP3/4N1P1/r2p3P/1r3PK1/8 w - - 4 54,d5d7,h3h4,23
3,2,58,105,White,5k2/5p2/6p1/4P3/3RNKP1/rp1p3P/5P2/4r3 w - - 0 58,e4d2,e4f6,22
3,2,60,109,White,5k2/5p2/6p1/4P3/1R2K1P1/rp5P/3p1P2/8 w - - 0 60,b4d4,e5e6,19
3,2,61,111,White,1R6/5pk1/6p1/4P3/4K1P1/rp5P/3p1P2/8 w - - 2 61,e5e6,b8d8,23
3,2,63,115,White,1R6/5pk1/6p1/4P3/3q1KP1/rp5P/5P2/8 w - - 2 63,f4f3,f4g3,3
3,2,66,121,White,8/5pk1/6p1/4P3/4K1P1/1R5P/4rq2/8 w - - 2 66,e4d5,e4d3,3
3,2,70,129,White,8/5pk1/4P1p1/3K4/6P1/7r/3q4/8 w - - 1 70,d5c4,d5c6,5
4,7,14,18,Black,r4rk1/pp1bbppp/2n1pn2/2q5/4N3/P2B1N2/1PPBQPPP/2KR3R b - - 2 14,c5h5,c5b6,50
4,7,15,20,Black,r4rk1/pp1bbppp/2n1pn2/7q/4N3/P2B1N1P/1PPBQPP1/2KR3R b - - 0 15,c6e5,f6e4,47
4,7,23,36,Black,3r1rk1/p3bppp/4p3/2p5/5P1q/P3Q1PP/1PPB4/1K1R3R b - - 0 23,h4h6,h4h5,33
4,7,27,44,Black,5rk1/p3bppp/4p3/B1p5/5PP1/P3Q2P/KPP5/3r4 b - - 1 27,e7d6,f8e8,34
4,7,30,50,Black,2r3k1/p3bppp/4p3/2pr2P1/4QP2/P1B4P/KPP5/8 b - - 2 30,c5c4,e7f8,33
4,7,31,52,Black,2r3k1/p4ppp/3bp3/2pr2P1/4QP1P/P1B5/KPP5/8 b - - 0 31,c5c4,d5f5,31
4,7,32,54,Black,2r3k1/p4ppp/3bp3/3r2PP/2p1QP2/P1B5/KPP5/8 b - - 0 32,c8c7,a7a6,36
4,7,36,62,Black,2r3k1/5p2/4p1p1/p2rP1P1/2p5/P1B2Q2/KPP5/8 b - - 1 36,a5a4,c8c7,25
4,7,38,66,Black,2r3k1/5p2/4p1p1/p2rP1P1/2p5/P1B5/KPP2Q2/8 b - - 5 38,c8c7,c8c5,25
4,7,41,72,Black,8/5pk1/4p1p1/p1rrP1P1/P1p5/2B5/KPP5/7Q b - - 0 41,g7g8,c5c7,16
4,7,48,86,Black,6k1/5p2/4p1p1/3rP1P1/PQp5/8/KPP5/8 b - - 0 48,g8h7,d5d4,17
4,7,50,90,Black,6k1/5p2/4p1p1/P3P1P1/2p3r1/2Q5/KPP5/8 b - - 0 50,g8g7,g4g5,14
4,7,54,98,Black,7r/P4pk1/2Q1p1p1/4P3/8/8/KPP5/8 b - - 2 54,h8g8,h8f8,21
4,7,55,100,Black,6r1/P4pk1/2Q1p1p1/4P3/1P6/8/K1P5/8 b - - 0 55,g8f8,g8h8,14
4,7,56,102,Black,3r4/P4pk1/4p1p1/4P3/1P6/5Q2/K1P5/8 b - - 2 56,d8f8,d8c8,22
4,7,57,104,Black,5r2/P4pk1/4p1p1/1P2P3/8/5Q2/K1P5/8 b - - 0 57,g6g5,f8e8,14
