log,fullmove,ply,side,fen,move,rank,score_cp,gap_cp,candidate_move,reference_move,round,legal_moves
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,d8c7,1,-92,0,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,c8a6,2,-127,35,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,d5b4,3,-132,40,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,d5f6,4,-185,93,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,e7b4,5,-203,111,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,d5c7,6,-212,120,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,e8g8,7,-360,268,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,b8c6,8,-386,294,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,b8a6,9,-390,298,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,a8a5,10,-391,299,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,e7f6,11,-392,300,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,h7h6,12,-396,304,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,c8b7,13,-402,310,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,b8d7,14,-413,321,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,b6b5,15,-416,324,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,f7f5,16,-416,324,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,e7d6,17,-421,329,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,d8d6,18,-425,333,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,a8a6,19,-425,333,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,a8a4,20,-425,333,d5b4,d8c7,4,42
sprt_game_1,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,g7g5,21,-433,341,d5b4,d8c7,4,42
