game,round,fullmove,ply,side,fen,candidate_move,reference_move,legal_moves
1,4,9,9,Black,rnbqk2r/4bppp/1p2p3/3n4/2P5/3Q1N2/PP2BPPP/RNB1K2R b KQkq - 0 9,d5b4,d8c7,42
1,4,19,29,Black,rn3rk1/1b2bppp/1p2p3/1N6/2P2P2/2N5/PP2BP1P/R2R2K1 b - - 2 19,b8c6,g7g6,36
1,4,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,g7g5,f8c8,32
1,4,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,g8f8,f6d4,33
1,4,27,45,Black,rnr1b1k1/5ppp/1p2p3/8/1PPN1P2/P1R5/3RBP1P/6K1 b - - 4 27,g8f8,g7g6,27
1,4,29,49,Black,rnr1bk2/5p1p/1p2p1p1/8/1PPN1P2/P3R3/3RBP1P/5K2 b - - 1 29,a8a7,b8c6,27
1,4,30,51,Black,1nr1bk2/5p1p/1p2p1p1/8/rPPN1P1P/P3R3/3RBP2/5K2 b - - 0 30,b8d7,b8c6,27
1,4,32,55,Black,2r1bk2/4np1p/1p1Np1p1/8/rPP2P1P/P3R3/3RBP2/5K2 b - - 4 32,c8d8,c8a8,29
1,4,34,59,Black,3r1k2/4np1p/1pbNp1p1/8/rPP2P1P/P2R4/3RBP2/4K3 b - - 8 34,a4a7,h7h5,35
1,4,35,61,Black,2nr1k2/5p1p/1pbNp1p1/1P6/r1P2P1P/P2R4/3RBP2/4K3 b - - 0 35,c6a8,c6g2,32
1,4,45,81,Black,4b3/2rk4/1p4pp/1P2Np2/P1n2P1P/8/4RP2/3BK3 b - - 3 45,c4e5,d7d8,6
1,4,51,93,Black,4b3/3k4/1p6/1P2Ppp1/P7/2K5/5P2/3B4 b - - 3 51,g5g4,e8f7,10
1,4,54,99,Black,4b3/8/1p2k3/1P2P3/P2K1pp1/1B6/5P2/8 b - - 1 54,e6e7,e6d7,3
1,4,60,111,Black,8/1B6/8/4Pk2/3K4/6p1/8/8 b - - 0 60,g3g2,f5e6,6
1,4,61,113,Black,8/8/8/4Pk2/3K4/8/6B1/8 b - - 0 61,f5e6,f5g4,5
1,4,68,127,Black,8/2k1P3/5K2/3B4/8/8/8/8 b - - 2 68,c7b6,c7d6,5
1,4,69,129,Black,8/3kPB2/5K2/8/8/8/8/8 b - - 4 69,d7c7,d7d6,4
1,4,70,131,Black,8/2k1P3/4BK2/8/8/8/8/8 b - - 6 70,c7b6,c7c6,5
1,4,73,137,Black,8/4P3/5K2/5B2/1k6/8/8/8 b - - 12 73,b4c3,b4b3,8
1,4,76,143,Black,8/4P3/8/8/5K2/3B4/k7/8 b - - 18 76,a2b2,a2b3,4
1,4,77,145,Black,4Q3/8/8/8/5K2/3B4/1k6/8 b - - 0 77,b2c3,b2b3,6
1,4,82,155,Black,1Q6/8/8/8/2k5/4K3/8/8 b - - 7 82,c4c3,c4d5,3
1,4,84,159,Black,8/8/8/8/2k5/4K3/Q7/8 b - - 11 84,c4b4,c4c3,4
1,4,89,169,Black,8/8/k7/3K4/8/1Q6/8/8 b - - 21 89,a6a5,a6a7,2
2,2,19,21,White,1r4k1/1rqnnpb1/2p1p1p1/p1Pp1bPp/P2P1P2/B1N1P2P/3QN1B1/R4RK1 w - - 4 19,f1e1,g1h1,38
2,2,20,23,White,1r4k1/1rqnn1b1/2p1ppp1/p1Pp1bPp/P2P1P2/B1N1P2P/3QN1B1/R4R1K w - - 0 20,a1d1,a1a2,39
2,2,28,39,White,1r3nk1/3qn1b1/2p1p1p1/p1P3Pp/P2PB3/Br5P/3QN3/R4R1K w - - 1 28,d2f4,f1f3,51
2,2,32,47,White,1r3nk1/1r1q2b1/2p1p1p1/p1P2nPp/P3B3/B2N3P/7Q/R4R1K w - - 4 32,a1d1,a1e1,46
2,2,49,81,White,5nk1/8/4p1p1/R5Pp/7r/8/6BK/8 w - - 0 49,g2h3,h2g3,3
2,2,50,83,White,5nk1/8/4p1p1/R5Pp/3r4/7B/7K/8 w - - 2 50,h2g3,h3g2,21
2,2,52,87,White,5n2/5k2/4p1p1/R5Pp/6r1/6K1/6B1/8 w - - 6 52,g3h2,g3f3,4
2,2,56,95,White,8/3nk3/4p1p1/R5Pp/2r5/4K2B/8/8 w - - 14 56,h3f1,h3g2,22
2,2,67,117,White,8/8/8/2n1p1pp/3k4/5K2/4R1B1/6r1 w - - 0 67,e2a2,f3g3,14
2,2,70,123,White,8/8/8/2n3pp/3k4/4p3/R5BK/2r5 w - - 2 70,g2f3,h2h3,23
2,2,73,129,White,8/8/8/3n2pp/3k4/4p1K1/1R4B1/2r5 w - - 8 73,g2f3,g2d5,21
2,2,76,135,White,8/8/B7/7p/3k2p1/2n1p1K1/1R6/r7 w - - 4 76,b2b6,b2b4,25
2,2,84,151,White,8/8/7k/1n5p/6p1/3r2K1/8/8 w - - 0 84,g3f4,g3f2,5
2,2,86,155,White,8/8/7k/1n2K2p/6p1/8/8/5r2 w - - 4 86,e5e6,e5d5,3
2,2,89,161,White,8/8/7k/7p/8/2K5/6p1/5r2 w - - 0 89,c3d3,c3c2,8
3,1,10,10,Black,r1bq1rk1/pp1p1ppp/4pb1n/8/2P1P3/2N3P1/PP3PBP/R1BQK2R b KQ - 2 10,d7d6,d8c7,25
3,1,19,28,Black,3q1r1k/p1rp3p/1p2pp1p/4P3/2P1Q3/2P3P1/P4P1P/3R1RK1 b - - 5 19,f6f5,f6e5,23
3,1,24,38,Black,5r1k/p1rp3p/1p2pq2/8/2PR4/2P3P1/P4P2/3RQ1K1 b - - 0 24,f6e7,f6g7,36
3,1,31,52,Black,6k1/p1rp3p/1p2pq2/5r2/2PR4/2P3P1/P2R1P2/3Q2K1 b - - 14 31,g8h8,h7h6,39
3,1,34,58,Black,4k3/p1rR4/1p2pq1p/5r2/2P5/2P3P1/P2R1P2/3Q2K1 b - - 0 34,f5c5,c7d7,34
3,1,40,70,Black,R7/4k3/1p2p2p/8/2P5/2P3P1/P4K2/8 b - - 0 40,e7f6,e7f7,7
3,1,41,72,Black,7R/4k3/1p2p3/7p/2P5/2P3P1/P4K2/8 b - - 1 41,e7f6,e7f7,7
3,1,43,76,Black,8/8/1p2p1k1/8/2P5/2P3P1/P4K2/7R b - - 2 43,g6g7,g6f7,7
3,1,44,78,Black,8/5k2/1p2p3/8/2P5/2P3P1/P3K3/7R b - - 4 44,f7f6,f7e7,9
3,1,46,82,Black,8/6k1/1p1Rp3/8/2P5/2P3P1/P3K3/8 b - - 8 46,g7f7,g7f6,10
3,1,47,84,Black,8/5k2/1p1Rp3/8/P1P5/2P3P1/4K3/8 b - - 0 47,f7f8,f7g8,9
3,1,49,88,Black,5k2/8/4R3/1P6/P7/2P3P1/4K3/8 b - - 0 49,f8g7,f8f7,3
3,1,50,90,Black,8/5k2/1R6/1P6/P7/2P3P1/4K3/8 b - - 2 50,f7g7,f7e7,5
3,1,52,94,Black,8/1R6/7k/1P6/P7/2PK2P1/8/8 b - - 6 52,h6g5,h6g6,3
3,1,55,100,Black,8/3R4/6k1/1P6/P1K5/2P3P1/8/8 b - - 12 55,g6h6,g6f6,5
3,1,62,114,Black,8/1P6/K6k/8/P7/2P3P1/8/8 b - - 0 62,h6g5,h6g7,5
3,1,63,116,Black,8/1P6/6k1/K7/P7/2P3P1/8/8 b - - 2 63,g6h5,g6h7,8
3,1,64,118,Black,1Q6/8/7k/K7/P7/2P3P1/8/8 b - - 0 64,h6g5,h6g7,5
3,1,65,120,Black,8/1Q4k1/8/K7/P7/2P3P1/8/8 b - - 2 65,g7h6,g7f6,6
3,1,66,122,Black,Q7/8/7k/K7/P7/2P3P1/8/8 b - - 4 66,h6g6,h6g7,5
3,1,67,124,Black,Q7/8/K5k1/8/P7/2P3P1/8/8 b - - 6 67,g6g5,g6f6,8
3,1,68,126,Black,Q7/8/8/1K5k/P7/2P3P1/8/8 b - - 8 68,h5g5,h5g4,4
3,1,69,128,Black,Q7/8/8/1K6/P1P3k1/6P1/8/8 b - - 0 69,g4g3,g4g5,5
3,1,71,132,Black,7Q/8/8/K7/P1P3k1/8/8/8 b - - 3 71,g4g5,g4f5,5
3,1,72,134,Black,Q7/8/8/K7/P1P5/5k2/8/8 b - - 5 72,f3g4,f3f2,6
3,1,73,136,Black,8/8/2Q5/K7/P1P5/8/5k2/8 b - - 7 73,f2g1,f2e1,6
3,1,75,140,Black,1Q6/8/8/K7/P1P5/8/8/6k1 b - - 11 75,g1f1,g1g2,4
3,1,76,142,Black,1Q6/8/1K6/8/P1P5/8/5k2/8 b - - 13 76,f2g2,f2g1,7
3,1,77,144,Black,4Q3/8/1K6/8/P1P5/8/8/6k1 b - - 15 77,g1f1,g1h1,5
3,1,79,148,Black,8/8/1K2Q3/8/P1P5/8/8/5k2 b - - 19 79,f1g2,f1f2,3
3,1,80,150,Black,8/8/1K2Q3/2P5/P7/8/5k2/8 b - - 0 80,f2f1,f2g2,5
3,1,81,152,Black,8/1K6/4Q3/2P5/P7/8/8/6k1 b - - 2 81,g1f2,g1h2,5
3,1,82,154,Black,8/1K6/1Q6/2P5/P7/8/7k/8 b - - 4 82,h2h1,h2g1,5
3,1,84,158,Black,8/1K6/1QP5/P7/8/8/8/6k1 b - - 0 84,g1h1,g1h2,4
3,1,86,162,Black,2Q5/1K6/1Q6/P7/8/6k1/8/8 b - - 0 86,g3f3,g3f4,5
4,2,15,14,Black,r3r1k1/pp1nnpb1/6p1/q1pp1bPp/3P1P2/1PN1P2P/P2QN1BK/R1B2R2 b - - 3 15,a5b6,a5a6,47
4,2,16,16,Black,r3r1k1/pp1nnpb1/q5p1/2pp1bPp/3P1P2/1PN1P2P/PB1QN1BK/R4R2 b - - 5 16,f5d3,a8d8,49
4,2,23,30,Black,3rr1k1/pp3pb1/q5p1/6Pp/3NbP2/1P2P2P/PB1Q1R1K/2R5 b - - 1 23,d8d7,a6b6,48
4,2,25,34,Black,4r1k1/pp1r1pb1/q5p1/3b2Pp/PP1N1P2/4P2P/1B1Q1R1K/2R5 b - - 0 25,b7b6,d5e4,49
4,2,28,40,Black,4r1k1/pp3pb1/q5p1/P1P3Pp/3NbP2/4P2P/1B1Q1R1K/8 b - - 0 28,a6c4,h5h4,42
4,2,32,48,Black,5bk1/ppr2p2/q5p1/P1P3Pp/4bP2/QN2P1KP/1B3R2/8 b - - 8 32,e4d5,a6d3,36
