log,fullmove,ply,side,fen,move,rank,score_cp,gap_cp,candidate_move,reference_move,round,legal_moves,target_oracle_moves,target_reference_moves,target_candidate_moves,target_worst_diff,target_hits
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,e2e3,1,-89,0,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,a2a4,2,-98,9,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,a2a3,3,-108,19,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,h2h4,4,-121,32,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,g3f4,5,-136,47,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,h2h3,6,-141,52,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,e2e4,7,-141,52,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,f3e5,8,-142,53,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,h1g1,9,-155,66,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,g3h4,10,-163,74,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,a1b1,11,-172,83,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,g3e5,12,-174,85,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,f3g1,13,-182,93,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,e1d1,14,-195,106,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,f3g5,15,-200,111,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,a1d1,16,-201,112,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,a1c1,17,-202,113,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,f3h4,18,-293,204,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,e1c1,19,-309,220,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,d2c1,20,-379,290,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,d2d1,21,-400,311,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,d2g5,22,-464,375,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,c3d5,23,-491,402,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,g3d6,24,-522,433,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,g3c7,25,-534,445,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,c3b1,26,-559,470,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,c3e4,27,-563,474,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,d2f4,28,-563,474,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,d2e3,29,-596,507,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,c3a4,30,-612,523,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,c3d1,31,-622,533,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,b2b3,32,-651,562,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,c3b5,33,-673,584,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,d2d3,34,-677,588,g3c7,e2e3,5,35,,,,,
sprt_game_1,9,1,White,r2qk2r/p1pp2pp/bpn1p3/3n1p2/1b1P4/2N2NB1/PPPQPPPP/R3KB1R w KQkq - 0 9,d2h6,35,-679,590,g3c7,e2e3,5,35,,,,,
sprt_game_1,11,5,White,r2qk2r/p1pp2pp/1pn1p3/3n1p2/3P4/2P1PNB1/P1PQ1PPP/R3Kb1R w KQkq - 0 11,e1f1,1,-83,0,h1f1,e1f1,5,27,,,,,
sprt_game_1,11,5,White,r2qk2r/p1pp2pp/1pn1p3/3n1p2/3P4/2P1PNB1/P1PQ1PPP/R3Kb1R w KQkq - 0 11,h1f1,2,-84,1,h1f1,e1f1,5,27,,,,,
sprt_game_1,11,5,White,r2qk2r/p1pp2pp/1pn1p3/3n1p2/3P4/2P1PNB1/P1PQ1PPP/R3Kb1R w KQkq - 0 11,g3h4,3,-178,95,h1f1,e1f1,5,27,,,,,
sprt_game_1,11,5,White,r2qk2r/p1pp2pp/1pn1p3/3n1p2/3P4/2P1PNB1/P1PQ1PPP/R3Kb1R w KQkq - 0 11,e3e4,4,-437,354,h1f1,e1f1,5,27,,,,,
sprt_game_1,11,5,White,r2qk2r/p1pp2pp/1pn1p3/3n1p2/3P4/2P1PNB1/P1PQ1PPP/R3Kb1R w KQkq - 0 11,f3e5,5,-441,358,h1f1,e1f1,5,27,,,,,
sprt_game_1,11,5,White,r2qk2r/p1pp2pp/1pn1p3/3n1p2/3P4/2P1PNB1/P1PQ1PPP/R3Kb1R w KQkq - 0 11,h1g1,6,-460,377,h1f1,e1f1,5,27,,,,,
sprt_game_1,11,5,White,r2qk2r/p1pp2pp/1pn1p3/3n1p2/3P4/2P1PNB1/P1PQ1PPP/R3Kb1R w KQkq - 0 11,c3c4,7,-478,395,h1f1,e1f1,5,27,,,,,
sprt_game_1,11,5,White,r2qk2r/p1pp2pp/1pn1p3/3n1p2/3P4/2P1PNB1/P1PQ1PPP/R3Kb1R w KQkq - 0 11,a1d1,8,-499,416,h1f1,e1f1,5,27,,,,,
sprt_game_1,11,5,White,r2qk2r/p1pp2pp/1pn1p3/3n1p2/3P4/2P1PNB1/P1PQ1PPP/R3Kb1R w KQkq - 0 11,f3h4,9,-506,423,h1f1,e1f1,5,27,,,,,
sprt_game_1,11,5,White,r2qk2r/p1pp2pp/1pn1p3/3n1p2/3P4/2P1PNB1/P1PQ1PPP/R3Kb1R w KQkq - 0 11,d2d1,10,-524,441,h1f1,e1f1,5,27,,,,,
sprt_game_1,11,5,White,r2qk2r/p1pp2pp/1pn1p3/3n1p2/3P4/2P1PNB1/P1PQ1PPP/R3Kb1R w KQkq - 0 11,d2c1,11,-526,443,h1f1,e1f1,5,27,,,,,
sprt_game_1,11,5,White,r2qk2r/p1pp2pp/1pn1p3/3n1p2/3P4/2P1PNB1/P1PQ1PPP/R3Kb1R w KQkq - 0 11,e1c1,12,-539,456,h1f1,e1f1,5,27,,,,,
sprt_game_1,11,5,White,r2qk2r/p1pp2pp/1pn1p3/3n1p2/3P4/2P1PNB1/P1PQ1PPP/R3Kb1R w KQkq - 0 11,a2a3,13,-540,457,h1f1,e1f1,5,27,,,,,
