log,fullmove,ply,side,fen,move,rank,score_cp,gap_cp,target_oracle_moves,target_reference_moves,target_candidate_moves,target_worst_diff,target_hits
ArasanX_vs_EnyoBot_7pzXRQFZ.log,32,63,Black,r4k2/1p3r2/p6Q/8/2R5/2nP4/3N1P1P/q2BK3 b - - 2 32,f8e7,1,-185,0,f8e7;f8e7,f8e7;f8e7,f7g7;f7g7,-563,2
ArasanX_vs_EnyoBot_7pzXRQFZ.log,32,63,Black,r4k2/1p3r2/p6Q/8/2R5/2nP4/3N1P1P/q2BK3 b - - 2 32,f8e8,2,-472,287,f8e7;f8e7,f8e7;f8e7,f7g7;f7g7,-563,2
ArasanX_vs_EnyoBot_7pzXRQFZ.log,32,63,Black,r4k2/1p3r2/p6Q/8/2R5/2nP4/3N1P1P/q2BK3 b - - 2 32,f7g7,3,-832,647,f8e7;f8e7,f8e7;f8e7,f7g7;f7g7,-563,2
ArasanX_vs_EnyoBot_7pzXRQFZ.log,32,63,Black,r4k2/1p3r2/p6Q/8/2R5/2nP4/3N1P1P/q2BK3 b - - 2 32,f8g8,4,-31998,31813,f8e7;f8e7,f8e7;f8e7,f7g7;f7g7,-563,2
Bot1nokk_vs_EnyoBot_mEIqToS1.log,127,253,Black,2QK4/8/pk6/8/8/8/8/8 b - - 0 127,b6b5,1,-684,0,a6a5;a6a5,a6a5;a6a5,b6a5;b6a5,-448,2
Bot1nokk_vs_EnyoBot_mEIqToS1.log,127,253,Black,2QK4/8/pk6/8/8/8/8/8 b - - 0 127,b6a5,2,-8115,7431,a6a5;a6a5,a6a5;a6a5,b6a5;b6a5,-448,2
Bot1nokk_vs_EnyoBot_mEIqToS1.log,127,253,Black,2QK4/8/pk6/8/8/8/8/8 b - - 0 127,a6a5,3,-31995,31311,a6a5;a6a5,a6a5;a6a5,b6a5;b6a5,-448,2
Bot1nokk_vs_EnyoBot_mEIqToS1.log,127,253,Black,2QK4/8/pk6/8/8/8/8/8 b - - 0 127,b6a7,4,-31998,31314,a6a5;a6a5,a6a5;a6a5,b6a5;b6a5,-448,2
caissa-x_vs_EnyoBot_0waEuGxc.log,68,135,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4Q1K1/8/8 b - - 0 68,g5e4,1,-372,0,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8f8;a8a1;a8a6;g8h8;a8a6;a8a6,-296,6
caissa-x_vs_EnyoBot_0waEuGxc.log,68,135,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4Q1K1/8/8 b - - 0 68,g8h8,2,-448,76,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8f8;a8a1;a8a6;g8h8;a8a6;a8a6,-296,6
caissa-x_vs_EnyoBot_0waEuGxc.log,68,135,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4Q1K1/8/8 b - - 0 68,a8d8,3,-451,79,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8f8;a8a1;a8a6;g8h8;a8a6;a8a6,-296,6
caissa-x_vs_EnyoBot_0waEuGxc.log,68,135,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4Q1K1/8/8 b - - 0 68,a8f8,4,-468,96,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8f8;a8a1;a8a6;g8h8;a8a6;a8a6,-296,6
caissa-x_vs_EnyoBot_0waEuGxc.log,68,135,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4Q1K1/8/8 b - - 0 68,g8f8,5,-478,106,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8f8;a8a1;a8a6;g8h8;a8a6;a8a6,-296,6
caissa-x_vs_EnyoBot_0waEuGxc.log,68,135,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4Q1K1/8/8 b - - 0 68,a8b8,6,-521,149,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8f8;a8a1;a8a6;g8h8;a8a6;a8a6,-296,6
caissa-x_vs_EnyoBot_0waEuGxc.log,68,135,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4Q1K1/8/8 b - - 0 68,a8e8,7,-543,171,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8f8;a8a1;a8a6;g8h8;a8a6;a8a6,-296,6
caissa-x_vs_EnyoBot_0waEuGxc.log,68,135,Black,q5k1/6p1/5pPp/3PpBnP/4P3/4Q1K1/8/8 b - - 0 68,a8a5,8,-589,217,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8a5;a8a5;a8a5;a8a5;a8a5;a8a5,a8f8;a8a1;a8a6;g8h8;a8a6;a8a6,-296,6
