log,fullmove,ply,side,fen,move,rank,score_cp,gap_cp,target_oracle_moves,target_reference_moves,target_candidate_moves,target_worst_diff,target_hits
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,d3g6,1,-105,0,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,d3d1,2,-244,139,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,d3c4,3,-749,644,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,d3e4,4,-31992,31887,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,d3e2,5,-31992,31887,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,d3f3,6,-31994,31889,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,d3e3,7,-31994,31889,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,d3f5,8,-31996,31891,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,d3d4,9,-31996,31891,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,d3d2,10,-31996,31891,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,h7h8,11,-31997,31892,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,d3a3,12,-31997,31892,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,d3f1,13,-31997,31892,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,d3c3,14,-31998,31893,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,d3b3,15,-31998,31893,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,d3c2,16,-31998,31893,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,d3b1,17,-31998,31893,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,d5d4,18,-31998,31893,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,b5b4,19,-31998,31893,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,a5a4,20,-31998,31893,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,h7h6,21,-31999,31894,d3g6;d3g6,d3g6;d3g6,d3c4;d3e4,-881,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,b2a2,1,71,0,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,b2a3,2,-87,158,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,a4a3,3,-285,356,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
