log,ply,fullmove,side,fen,best_move,engine_move,rank,gap_cp,score_cp,nodes
ArasanX_vs_EnyoBot_Q0a5I19l.log,95,48,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,d3g6,d3e4,4,31887,-31992,35349
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,53,27,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,b2a2,b2a3,2,158,-87,95196
Hypersion_vs_EnyoBot_npmgxvIO.log,27,14,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,c8d7,c6e5,27,278,-282,49375
EnyoBot_vs_Bot1nokk_5j5IYTv6.log,24,13,White,r2q1rk1/1ppbbppp/p1n2n2/4p3/1PB4N/2PP4/P1QN1PPP/R1B2RK1 w - - 2 13,a2a4,h4g6,27,449,-418,37425
caissa-x_vs_EnyoBot_0waEuGxc.log,123,62,Black,4q1k1/6p1/5pPp/3PpBnP/nQ2P3/4P3/8/4K3 b - - 10 62,e8a8,e8a8,1,0,-127,13468
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,14,Black,r2q1rk1/1b3ppp/p1pb4/1p1B4/8/2P2Q2/PP1PRPPP/RNB3K1 b - - 1 14,c6d5,d6h2,25,374,-408,43542
EnyoBot_vs_Lynx_BOT_jjThVRPN.log,58,30,White,1r6/2p1Rp1k/p2pbP2/2p3B1/3b2PP/3N1P2/P5K1/8 w - - 4 30,h4h5,d3c1,14,200,-180,65337
caissa-x_vs_EnyoBot_0waEuGxc.log,85,43,Black,1r2k3/4q1p1/1n1p1pPp/pPpPpBnP/P3P3/2Q1P3/1K1N4/R7 b - - 7 43,e7a7,b6a4,12,300,-354,29171
CloudNetBot_vs_EnyoBot_KTS7zzI9.log,173,87,Black,8/8/1n6/6R1/N2k4/2p5/1p6/1K6 b - - 5 87,b6d5,b6a4,11,283,-550,34957
caissa-x_vs_EnyoBot_0waEuGxc.log,67,34,Black,3r1r1k/3nqpp1/3p2Pp/p1pPpB1P/P1P1P3/2N1Pn2/K1Q2R2/7R b - - 1 34,f3g5,f3d4,4,186,-295,64089
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,25,13,Black,r2q1rk1/1bp2ppp/p2b4/1p1BR3/8/2P2Q2/PP1P1PPP/RNB3K1 b - - 0 13,c7c6,b7d5,2,170,-214,63900
EnyoBot_vs_Lynx_BOT_jjThVRPN.log,32,17,White,r1b2r2/b1pq1p2/p1pp1nk1/6B1/3PP2P/3Q4/PP3PP1/RN2R1K1 w - - 1 17,e4e5,g5f6,7,179,-142,8964
EnyoBot_vs_DarkOnBot_pm9SUqFN.log,20,11,White,rn2k2r/pbp1qpp1/1p1p1n1p/4p3/P1PP3B/2PBPN2/5PPP/R2QK2R w KQkq - 0 11,d3c2,e1g1,10,229,-234,42314
EnyoBot_vs_Lynx_BOT_jjThVRPN.log,30,16,White,r1bq1r2/b1p2p2/p1pp1nk1/6B1/3PP3/3Q4/PP3PPP/RN2R1K1 w - - 3 16,f2f4,b1d2,13,318,-235,71854
Hypersion_vs_EnyoBot_npmgxvIO.log,95,48,Black,8/1p1k4/4p3/3pP3/8/2PB2r1/1q1QK2R/8 b - - 6 48,b2a1,b2d2,4,136,-250,37106
caissa-x_vs_EnyoBot_0waEuGxc.log,131,66,Black,q5k1/2Q3p1/5pPp/3PpBnP/4P3/4P1K1/1n6/8 b - - 18 66,b2d1,b2a4,4,699,-888,13373
EnyoBot_vs_Lynx_BOT_jjThVRPN.log,34,18,White,r1b2r2/b1p2p2/p1pp1nk1/4PqB1/3P3P/3Q4/PP3PP1/RN2R1K1 w - - 1 18,d3f5,d3d2,2,241,-228,25206
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,31,16,Black,r3k2r/1nq1bpp1/p2pbn1p/4p3/4P1PP/1NN1BP2/1PPQ4/R3KB1R b Kkq - 4 16,e8g8,e6g4,37,356,-395,34747
stage270_vs_EnyoBot_kp3inZBb.log,37,19,Black,1r1r2k1/2p2ppp/8/p2B4/1b4b1/1P2BP2/P5PP/R2R2K1 b - - 0 19,g4e6,d8e8,7,208,-233,50418
ArasanX_vs_EnyoBot_Q0a5I19l.log,49,25,Black,4r1k1/1pqn1pp1/4b2p/p2pP3/P2N4/4Q2P/1P1N1PP1/4R1K1 b - - 0 25,f7f6,e6h3,29,327,-348,34245
ArasanX_vs_EnyoBot_Q0a5I19l.log,175,88,Black,8/8/8/5K2/k3N1P1/8/8/8 b - - 2 88,a4b5,a4b5,1,0,-31990,84878
ArasanX_vs_EnyoBot_Q0a5I19l.log,45,23,Black,3qr1k1/1p1n1pp1/1b2b2p/p2pP3/P2B4/2Q4P/1P1NNPP1/4R1K1 b - - 0 23,f7f6,d7e5,25,332,-352,88870
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,101,51,Black,8/8/6k1/5r2/2P5/3NK3/8/Q7 b - - 6 51,g6h7,f5g5,4,205,-860,97402
CloudNetBot_vs_EnyoBot_KTS7zzI9.log,15,8,Black,r1bqk2r/ppp2ppp/2n2P2/2bp4/8/2Pp1N2/PP2BPPP/RNBQK2R b KQkq - 0 8,d3e2,d8f6,3,326,-343,50618
ArasanX_vs_EnyoBot_5Pms0ZXh.log,17,9,Black,r1bqkb1r/ppp3pp/2npp3/1P6/8/5N2/1PP2PPP/RNBQ1RK1 b kq - 0 9,c6e7,f8e7,5,249,-285,40192
caissa-x_vs_EnyoBot_0waEuGxc.log,87,44,Black,1r2k3/q5p1/1n1p1pPp/pPpPpBnP/P3P3/1NQ1P3/1K6/R7 b - - 9 44,b8d8,e8f8,3,84,-158,58397
ArasanX_vs_EnyoBot_Q0a5I19l.log,35,18,Black,2rqr1k1/1p3pp1/1bppbn1p/p7/P2PP3/R1N1B2P/1PQN1PP1/4R1K1 b - - 5 18,f6d7,e6h3,23,255,-277,52337
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,27,14,Black,r3k2r/2qnbpp1/p2pbn1p/N3p3/R3P1PP/2N1BP2/1PPQ4/4KB1R b Kkq - 0 14,d7c5,f6e4,22,235,-283,88338
EnyoBot_vs_Lynx_BOT_jjThVRPN.log,54,28,White,1r6/2pb1p1k/p2p1P2/2p1b1B1/5NPP/5P2/P5K1/4R3 w - - 0 28,f4d3,g2h3,2,174,-153,93681
ArasanX_vs_EnyoBot_Q0a5I19l.log,107,54,Black,4q3/6k1/6p1/1p6/p3N2K/2Q5/6P1/8 b - - 3 54,g7h6,g7h6,1,0,-191,24545
ArasanX_vs_EnyoBot_5Pms0ZXh.log,31,16,Black,r1bq1b1r/1pp3pp/p2p2k1/1P1Q4/8/R7/1PP2PPP/2B1R1K1 b - - 2 16,h7h6,c8g4,2,516,-672,67380
ArasanX_vs_EnyoBot_7pzXRQFZ.log,63,32,Black,r4k2/1p3r2/p6Q/8/2R5/2nP4/3N1P1P/q2BK3 b - - 2 32,f8e7,f8e7,1,0,-178,74518
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,55,28,Black,4r1k1/5pp1/1Rbb3p/3p4/p2P4/2P1N2P/q2B1PP1/3Q2K1 b - - 3 28,e8b8,e8b8,1,0,114,9317
EnyoBot_vs_DarkOnBot_pm9SUqFN.log,72,37,White,6k1/2p3q1/1p1p2p1/pP1P1p1p/1nP1r3/4P1PB/5P1P/1Q4RK w - - 0 37,b1b3,g1c1,2,40,-100,95274
styx_reckless_vs_EnyoBot_z3PAJH4r.log,29,15,Black,r1b1rnk1/pp2qpb1/2p3pp/3pP3/3P1P2/2NB4/PP1N2PP/R2Q1RK1 b - - 0 15,f8e6,c8h3,29,389,-455,17351
ArasanX_vs_EnyoBot_Q0a5I19l.log,37,19,Black,2rqr1k1/1p1n1pp1/1bppb2p/p7/P2PP3/R3B2P/1PQNNPP1/4R1K1 b - - 7 19,d6d5,e6h3,24,304,-327,55668
EnyoBot_vs_DarkOnBot_pm9SUqFN.log,52,27,White,5r1k/1bp1rp2/1p1p1qpp/p2P1B2/PnP5/1N2P3/5PPP/1QRR2K1 w - - 0 27,f5h3,b3a5,7,325,-370,49819
EnyoBot_vs_DarkOnBot_pm9SUqFN.log,62,32,White,2b1r2k/2p1r1q1/1p1p2p1/p2P1p1p/PnPR4/1N2P1PB/5P1P/1Q4RK w - - 0 32,d4f4,b3a5,28,325,-392,20836
caissa-x_vs_EnyoBot_0waEuGxc.log,137,69,Black,1q4k1/6p1/5pPp/3PpBnP/4P3/Q5K1/8/8 b - - 2 69,g5e4,b8f8,3,363,-716,35992
EnyoBot_vs_Lynx_BOT_jjThVRPN.log,36,19,White,r1b2r2/b1p2p2/p1pp1n2/4PkB1/3P3P/8/PP3PP1/RN2R1K1 w - - 0 19,e5f6,g5f6,2,4,33,40894
CloudNetBot_vs_EnyoBot_KTS7zzI9.log,13,7,Black,r1bqk2r/ppp2ppp/2n2n2/2bpP3/3p4/2P2N2/PP2BPPP/RNBQK2R b KQkq - 1 7,f6e4,c6e5,7,224,-226,62088
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,25,13,Black,r2qk2r/3nbpp1/p2pbn1p/N3p3/R3P1P1/2N1BP2/1PPQ3P/4KB1R b Kkq - 1 13,d8c7,f6e4,21,217,-273,99483
EnyoBot_vs_DarkOnBot_pm9SUqFN.log,22,12,White,rn2k2r/pbp2pp1/1p1p1q1p/4p3/P1PP4/2PBPN2/5PPP/R2QK2R w KQkq - 0 12,d1c2,f3e5,13,301,-329,20538
EnyoBot_vs_DarkOnBot_pm9SUqFN.log,70,36,White,4r1k1/2p3q1/1p1p2p1/pP1P1p1p/1nP1r2R/4P1PB/5P1P/1Q4RK w - - 1 36,h4e4,h4f4,2,12,-76,90423
Hypersion_vs_EnyoBot_npmgxvIO.log,43,22,Black,r1bk2Q1/ppq5/2n1p3/3pP3/5P2/2P1n3/PP1N4/R3KB2 b Q - 6 22,d8d7,d8e7,2,101,-207,27048
Hypersion_vs_EnyoBot_npmgxvIO.log,121,61,Black,7R/1p6/8/Q7/8/2k5/5K2/1q1r4 b - - 1 61,c3b2,c3b2,1,0,-303,99865
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,39,20,Black,r4rk1/1nqbbpp1/3p3P/p2Pp3/7P/1N2BP2/1PPQ4/R3KB1R b K - 0 20,a5a4,f8b8,9,166,-195,19311
EnyoBot_vs_Bot1nokk_5j5IYTv6.log,26,14,White,r2q1rk1/1ppb1ppp/p1nb1n2/4p3/PPB4N/2PP4/2QN1PPP/R1B2RK1 w - - 1 14,h4f3,h4f3,1,0,25,60598
ArasanX_vs_EnyoBot_7pzXRQFZ.log,43,22,Black,r3k2r/1pR2p1p/p4qn1/1n2P1RQ/8/3P4/3N1P1P/4KB2 b kq - 0 22,f6b6,f6g5,6,344,-344,17788
styx_reckless_vs_EnyoBot_z3PAJH4r.log,85,43,Black,5bk1/1p1r4/p3Np1p/1q1p1PpQ/8/7P/PP4P1/4R2K b - - 18 43,d7e7,b5b4,2,100,-204,35339
ArasanX_vs_EnyoBot_7pzXRQFZ.log,39,20,Black,r3k2r/1pp2p1p/p4q2/4n1RQ/4P3/n2P4/3N1P1P/2R1KB2 b kq - 3 20,e5g6,e5d3,4,320,-322,37669
Hypersion_vs_EnyoBot_npmgxvIO.log,89,45,Black,8/1pk3r1/1q2p3/3pP3/8/2PB4/4K2R/Q7 b - - 0 45,g7g3,b6c5,3,168,-235,46281
ArasanX_vs_EnyoBot_Q0a5I19l.log,79,40,Black,6k1/5bp1/1pR3n1/p2p1N1Q/q2Nr2P/8/6PK/8 b - - 0 40,a4b4,g6h4,7,276,-383,74492
styx_reckless_vs_EnyoBot_z3PAJH4r.log,171,86,Black,4Q3/8/8/2K5/5r2/8/1k6/8 b - - 16 86,f4f2,f4f5,2,301,-536,77322
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,35,18,Black,r4rk1/1nq1bpp1/p2pb2p/3Pp3/6PP/1N2BP2/1PPQ4/R3KB1R b K - 0 18,e6d7,e6d5,16,260,-292,52633
styx_reckless_vs_EnyoBot_z3PAJH4r.log,31,16,Black,r1b1r1k1/pp2qpb1/2p1n1pp/3pP3/3P1P2/3B4/PP1NN1PP/R2Q1RK1 b - - 2 16,e7b4,e6d4,29,255,-326,34842
styx_reckless_vs_EnyoBot_z3PAJH4r.log,45,23,Black,3rr1k1/pp2qpb1/6pp/3pP3/3NnP2/3B1R2/PP4PP/3RQ2K b - - 2 23,f7f6,g7e5,23,235,-286,23029
ArasanX_vs_EnyoBot_Q0a5I19l.log,59,30,Black,4r1k1/3n2p1/1p2b2p/p2pP3/Pq1N4/1N2Q2P/1P4PK/5R2 b - - 1 30,b4e7,e6h3,12,156,-194,72569
ArasanX_vs_EnyoBot_5Pms0ZXh.log,27,14,Black,r1bqkb1r/1pp3pp/p2p4/1P1p4/3Q4/8/1PP2PPP/R1B1R1K1 b kq - 1 14,e8f7,c8e6,2,100,-445,40668
