log,fullmove,ply,side,fen,hits,worst_diff,candidates,candidate_moves,reference_moves,oracle_moves,candidate_losses,reference_losses
ArasanX_vs_EnyoBot_Q0a5I19l.log,48,95,Black,8/5Qpk/8/pp1p4/7K/3q1N2/6P1/8 b - - 1 48,2,-881,qmid3;scratch26,d3c4;d3e4,d3g6;d3g6,d3g6;d3g6,881;881,0;0
caissa-x_vs_EnyoBot_0waEuGxc.log,66,131,Black,q5k1/2Q3p1/5pPp/3PpBnP/4P3/4P1K1/1n6/8 b - - 18 66,3,-841,qmid3;broadtail;scratch26,b2a4;b2c4;a8f8,b2d1;b2d1;b2d1,b2d1;b2d1;b2d1,672;691;841,0;0;0
ArasanX_vs_EnyoBot_5Pms0ZXh.log,16,31,Black,r1bq1b1r/1pp3pp/p2p2k1/1P1Q4/8/R7/1PP2PPP/2B1R1K1 b - - 2 16,2,-780,qmid3;scratch26,c8d7;c8g4,h7h6;h7h6,h7h6;h7h6,780;603,0;0
Hypersion_vs_EnyoBot_npmgxvIO.log,61,121,Black,7R/1p6/8/Q7/8/2k5/5K2/1q1r4 b - - 1 61,2,-704,qmid3;broadtail,c3c4;b1b4,c3b2;c3b2,c3b2;c3b2,704;224,0;0
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,2,-613,broadtail;scratch26,b2c2;b2a3,b2a2;b2a2,b2a2;b2a2,613;174,0;0
EnyoBot_vs_Lynx_BOT_jjThVRPN.log,18,34,White,r1b2r2/b1p2p2/p1pp1nk1/4PqB1/3P3P/3Q4/PP3PP1/RN2R1K1 w - - 1 18,2,-589,broadtail;scratch26,e1e2;d3d2,d3f5;d3f5,d3f5;d3f5,589;214,0;0
ArasanX_vs_EnyoBot_7pzXRQFZ.log,32,63,Black,r4k2/1p3r2/p6Q/8/2R5/2nP4/3N1P1P/q2BK3 b - - 2 32,3,-563,qmid3;broadtail;scratch26,f7g7;f8e8;f7g7,f8e7;f8e7;f8e7,f8e7;f8e7;f8e7,563;289;563,0;0;0
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,20,39,Black,r4rk1/1nqbbpp1/3p3P/p2Pp3/7P/1N2BP2/1PPQ4/R3KB1R b K - 0 20,2,-563,broadtail;scratch26,c7c2;f8b8,a5a4;a5a4,a5a4;a5a4,563;170,0;0
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,2,-496,broadtail;scratch26,c7e5;c6e5,h5g4;h5g4,c8d7;c8d7,558;270,62;62
SF_Bot1nok_vs_EnyoBot_SbzD89kx.log,16,31,Black,r3k2r/1nq1bpp1/p2pbn1p/4p3/4P1PP/1NN1BP2/1PPQ4/R3KB1R b Kkq - 4 16,2,-470,broadtail;scratch26,c7c3;e6g4,e8g8;e8g8,e8g8;e8g8,470;345,0;0
